"","mes","hombres","mujeres","suma_hombres_mujeres","general","coinciden","media"
"1","Enero",155537,220479,376016,356824,FALSE,1013.70454545455
"2","Febrero",146918,217335,364253,344331,FALSE,978.213068181818
"3","Marzo",162361,243224,405585,381278,FALSE,1083.17613636364
"4","Abril",151357,226764,378121,356921,FALSE,1013.98011363636
"5","Mayo",154779,230850,385629,366042,FALSE,1039.89204545455
"6","Junio",158187,240188,398375,373307,FALSE,1060.53125
"7","Julio",153643,229851,383494,364856,FALSE,1036.52272727273
"8","Agosto",153100,231187,384287,365076,FALSE,1037.14772727273
"9","Septiembre",145457,218523,363980,341677,FALSE,970.673295454545
"10","Octubre",153230,232176,385406,365653,FALSE,1038.78693181818
"11","Noviembre",141303,209349,350652,331943,FALSE,943.019886363636
"12","Diciembre",120551,171731,292282,273925,FALSE,778.196022727273
